episode,timestep,reward
10727, 149400, 7.9304
10762, 150000, 7.117
10791, 150600, 7.0009
10821, 151200, 8.4607
10851, 151800, 7.9077
10883, 152400, 6.465
10913, 153000, 8.509
10940, 153600, 10.0707
10970, 154200, 9.4504
11002, 154800, 8.0783
11033, 155400, 8.5369
11063, 156000, 7.9578
11093, 156600, 10.2881
11125, 157200, 6.7964
11159, 157800, 5.1303
11189, 158400, 8.649
11224, 159000, 7.4464
11255, 159600, 7.7593
11287, 160200, 8.4585
11318, 160800, 8.5432
11349, 161400, 7.8088
11377, 162000, 9.3673
11407, 162600, 8.5127
11438, 163200, 8.9302
11470, 163800, 8.7958
11499, 164400, 9.9447
11531, 165000, 7.3864
11561, 165600, 7.3668
11592, 166200, 8.3286
11623, 166800, 8.2342
11653, 167400, 7.3075
11682, 168000, 10.0729
11711, 168600, 8.2079
11743, 169200, 6.6302
11774, 169800, 8.207
11806, 170400, 6.8128
11836, 171000, 8.6709
11867, 171600, 8.4118
11897, 172200, 9.5976
11926, 172800, 9.1251
11957, 173400, 7.8024
11987, 174000, 7.7444
12018, 174600, 7.5121
12047, 175200, 9.1857
12078, 175800, 7.5072
12107, 176400, 5.9223
12136, 177000, 9.3078
12168, 177600, 8.2195
12197, 178200, 7.7478
12225, 178800, 9.1215
12255, 179400, 8.1528
12283, 180000, 8.3656
12310, 180600, 9.1466
12338, 181200, 8.4454
12365, 181800, 9.1031
12396, 182400, 6.8402
12423, 183000, 8.6076
12451, 183600, 9.5771
12480, 184200, 7.9941
12509, 184800, 9.5893
12538, 185400, 8.2674
12567, 186000, 9.2126
12596, 186600, 7.7977
12622, 187200, 10.4452
12651, 187800, 8.7674
12676, 188400, 10.247
12703, 189000, 10.3341
12732, 189600, 8.504
12758, 190200, 8.7023
12785, 190800, 9.5323
12814, 191400, 7.7935
12842, 192000, 8.9466
12872, 192600, 8.9855
12900, 193200, 8.2854
12930, 193800, 6.8393
12959, 194400, 9.0077
12986, 195000, 9.8847
13016, 195600, 7.9022
13046, 196200, 7.9946
13077, 196800, 6.4529
13102, 197400, 9.2297
13131, 198000, 8.6691
